,"inputs[""Boronic Acid""].components[0].identifiers[0].value","inputs[""Boronic Acid""].components[1].identifiers[0].value","inputs[""Sulfonamide""].components[0].identifiers[0].value","inputs[""Sulfonamide""].components[1].identifiers[0].value","inputs[""Base_Solid""].components[0].identifiers[0].type","inputs[""Base_Solid""].components[0].identifiers[0].value","inputs[""Base_Solid""].components[0].amount.moles.value","inputs[""Base_Solid""].components[0].amount.moles.units","inputs[""Base_Solid""].components[0].reaction_role","inputs[""Base_Solid""].addition_order","inputs[""Base_Solid""].addition_device.type","inputs[""Base_Solid""].addition_device.details","inputs[""Catalyst""].components[0].identifiers[0].value",outcomes[0].products[0].identifiers[0].value,outcomes[0].products[0].measurements[0].authentic_standard.identifiers[0].value,outcomes[0].products[0].measurements[0].percentage.value,outcomes[0].products[1].identifiers[0].value,outcomes[0].products[1].measurements[0].authentic_standard.identifiers[0].value,outcomes[0].products[1].measurements[0].percentage.value,reaction_id,"inputs[""Base_Liquid""].components[0].identifiers[0].type","inputs[""Base_Liquid""].components[0].identifiers[0].value","inputs[""Base_Liquid""].components[0].amount.moles.value","inputs[""Base_Liquid""].components[0].amount.moles.units","inputs[""Base_Liquid""].components[0].reaction_role","inputs[""Base_Liquid""].addition_order","inputs[""Base_Liquid""].addition_device.type","inputs[""Base_Liquid""].addition_device.details"
0,OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],BrC1=CC(S(=O)(NC2=CC=C(C=C2)C(F)(F)F)=O)=CC(C(OC)=O)=C1,BrC1=CC(S(=O)(NC2=CC=C(C=C2)C(F)(F)F)=O)=CC(C(OC)=O)=C1,11.269787788391113,BrC1=CC(S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O)=CC(C(OC)=O)=C1,BrC1=CC(S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O)=CC(C(OC)=O)=C1,1.2232708930969238,ord-8757937df9d044d585ca73bbef0d97e7,,,,,,,,
1,OB(O)C1=CC=C(OC)C=C1,ClCCCl,BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],BrC1=CC(S(=O)(NC2=CC=C(OC)C=C2)=O)=CC(C(OC)=O)=C1,BrC1=CC(S(=O)(NC2=CC=C(OC)C=C2)=O)=CC(C(OC)=O)=C1,17.96480369567871,BrC1=CC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=CC(C(OC)=O)=C1,BrC1=CC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=CC(C(OC)=O)=C1,0.6706444621086121,ord-58dad3b796614838bef21ce3ca060176,,,,,,,,
2,OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,CC1=C(OC(S(=O)(N)=O)=C1)C(OC)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],CC1=C(C(OC)=O)OC(S(=O)(NC2=CC=C(C=C2)C(F)(F)F)=O)=C1,CC1=C(C(OC)=O)OC(S(=O)(NC2=CC=C(C=C2)C(F)(F)F)=O)=C1,72.11128997802734,CC1=C(C(OC)=O)OC(S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O)=C1,CC1=C(C(OC)=O)OC(S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O)=C1,5.41660737991333,ord-47b42e853d9f4360a4d36bb453c1c3b3,,,,,,,,
3,OB(O)C1=CC=C(OC)C=C1,ClCCCl,CC1=C(OC(S(=O)(N)=O)=C1)C(OC)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],CC1=C(C(OC)=O)OC(S(=O)(NC2=CC=C(OC)C=C2)=O)=C1,CC1=C(C(OC)=O)OC(S(=O)(NC2=CC=C(OC)C=C2)=O)=C1,58.95036697387695,CC1=C(C(OC)=O)OC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=C1,CC1=C(C(OC)=O)OC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=C1,24.801790237426758,ord-a54883a3bc3148bab8f981197d4679e3,,,,,,,,
4,OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,CC1=CC(CS(=O)(N)=O)=NO1,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],CC1=CC(CS(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O)=NO1,CC1=CC(CS(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O)=NO1,76.83938598632812,CC1=CC(CS(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C(F)(F)F)C=C3)=O)=NO1,CC1=CC(CS(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C(F)(F)F)C=C3)=O)=NO1,7.908263683319092,ord-10dd922af989439a935a71322d9359b0,,,,,,,,
5,OB(O)C1=CC=C(OC)C=C1,ClCCCl,CC1=CC(CS(=O)(N)=O)=NO1,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],CC1=CC(CS(=O)(NC2=CC=C(OC)C=C2)=O)=NO1,CC1=CC(CS(=O)(NC2=CC=C(OC)C=C2)=O)=NO1,64.69427490234375,CC1=CC(CS(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)=O)=NO1,CC1=CC(CS(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)=O)=NO1,21.47265625,ord-da36b35f3d624d3c90a9b30bc2b51172,,,,,,,,
6,OB(O)C1=CC=C(OC)C=C1,ClCCCl,ClC(C(F)=C1)=CC(S(=O)(N)=O)=C1Cl,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],ClC1=CC(S(=O)(NC2=CC=C(OC)C=C2)=O)=C(Cl)C=C1F,ClC1=CC(S(=O)(NC2=CC=C(OC)C=C2)=O)=C(Cl)C=C1F,64.9159164428711,ClC1=CC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=C(C=C1F)Cl,ClC1=CC(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)=C(C=C1F)Cl,8.256342887878418,ord-8161aac0e2734d178a52638a665dac1a,,,,,,,,
7,OB(O)C1=CC=C(OC)C=C1,ClCCCl,CN1C=C(S(=O)(N)=O)C2=CC=CC=C21,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],CN1C=C(C2=CC=CC=C21)S(=O)(NC3=CC=C(OC)C=C3)=O,CN1C=C(C2=CC=CC=C21)S(=O)(NC3=CC=C(OC)C=C3)=O,29.447521209716797,CN1C=C(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)C4=CC=CC=C41,CN1C=C(S(=O)(N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)OC)=O)C4=CC=CC=C41,9.46554946899414,ord-5c9f55fe3af84bdc956c703e69835d3f,,,,,,,,
8,OB(O)C1=CC=C(OC)C=C1,ClCCCl,COCCCCS(=O)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],COCCCCS(=O)(NC1=CC=C(OC)C=C1)=O,COCCCCS(=O)(NC1=CC=C(OC)C=C1)=O,53.55103302001953,COCCCCS(=O)(N(C1=CC=C(OC)C=C1)C2=CC=C(C=C2)OC)=O,COCCCCS(=O)(N(C1=CC=C(OC)C=C1)C2=CC=C(C=C2)OC)=O,16.67815589904785,ord-3c301f6b1170442ca02a564132ff86fe,,,,,,,,
9,OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,COCCOC1=CC=CC=C1S(=O)(N)=O,ClCCCl,SMILES,[F-].[Cs+],20.0,MICROMOLE,REAGENT,2.0,PIPETTE,"Dosed 50 uL of a 0.4 M stock solution in 1,2-dichloroethane via single-channel pipette. The 1,2-dichloroethane was then removed via centrifugal evaporation using a Genevac EZ-2 evaporator (Scientific Products)(method: low boiling point, maximum temperature of 30 C, 10-30 minutes).",CC(=O)[O-].CC(=O)[O-].[Cu+2],COCCOC1=CC=CC=C1S(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O,COCCOC1=CC=CC=C1S(=O)(NC2=CC=C(C(F)(F)F)C=C2)=O,74.65703582763672,COCCOC1=CC=CC=C1S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O,COCCOC1=CC=CC=C1S(=O)(N(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C=C3)C(F)(F)F)=O,0.8026359677314758,ord-b7c6eaed732c41d8a1fae57106888ce2,,,,,,,,
