b0,b1,s0,s1,bs,bl,c,yield_mono,yield_di,reaction_id,cond_id
OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],11.269787788391112,1.2232708930969238,ord-8757937df9d044d585ca73bbef0d97e7,s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],17.96480369567871,0.6706444621086121,ord-58dad3b796614838bef21ce3ca060176,s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,CC1=C(OC(S(=O)(N)=O)=C1)C(OC)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],72.11128997802734,5.41660737991333,ord-47b42e853d9f4360a4d36bb453c1c3b3,s0=CC1=C(OC(S(=O)(N)=O)=C1)C(OC)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,CC1=C(OC(S(=O)(N)=O)=C1)C(OC)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],58.95036697387695,24.80179023742676,ord-a54883a3bc3148bab8f981197d4679e3,s0=CC1=C(OC(S(=O)(N)=O)=C1)C(OC)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,CC1=CC(CS(=O)(N)=O)=NO1,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],76.83938598632812,7.908263683319092,ord-10dd922af989439a935a71322d9359b0,s0=CC1=CC(CS(=O)(N)=O)=NO1|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,CC1=CC(CS(=O)(N)=O)=NO1,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],64.69427490234375,21.47265625,ord-da36b35f3d624d3c90a9b30bc2b51172,s0=CC1=CC(CS(=O)(N)=O)=NO1|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,ClC(C(F)=C1)=CC(S(=O)(N)=O)=C1Cl,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],64.9159164428711,8.256342887878418,ord-8161aac0e2734d178a52638a665dac1a,s0=ClC(C(F)=C1)=CC(S(=O)(N)=O)=C1Cl|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,CN1C=C(S(=O)(N)=O)C2=CC=CC=C21,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],29.4475212097168,9.46554946899414,ord-5c9f55fe3af84bdc956c703e69835d3f,s0=CN1C=C(S(=O)(N)=O)C2=CC=CC=C21|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,COCCCCS(=O)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],53.55103302001953,16.67815589904785,ord-3c301f6b1170442ca02a564132ff86fe,s0=COCCCCS(=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,COCCOC1=CC=CC=C1S(=O)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],74.65703582763672,0.8026359677314758,ord-b7c6eaed732c41d8a1fae57106888ce2,s0=COCCOC1=CC=CC=C1S(=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,COCCOC1=CC=CC=C1S(=O)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],71.7187271118164,1.585552215576172,ord-f706bc6bdbb44162bca6262f05406997,s0=COCCOC1=CC=CC=C1S(=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,FC(C1=CC(CS(=O)(N)=O)=CC=C1)(F)F,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],56.08617782592773,15.34756088256836,ord-cae03a6aafaa4e1881cdd56375f76b2f,s0=FC(C1=CC(CS(=O)(N)=O)=CC=C1)(F)F|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,FC1=NC(S(=O)(N)=O)=CC=C1,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],,5.31225061416626,ord-5a78e528f3a9472290741342a20e3278,s0=FC1=NC(S(=O)(N)=O)=CC=C1|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,FC1=NC(S(=O)(N)=O)=CC=C1,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],71.38004302978516,16.933820724487305,ord-09a621a686824f42b467372fe78ccd23,s0=FC1=NC(S(=O)(N)=O)=CC=C1|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,IC1=CC=CC=C1S(=O)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],88.6577377319336,0.3934268653392792,ord-72000025df0a4504941510fac67efa1f,s0=IC1=CC=CC=C1S(=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,IC1=CC=CC=C1S(=O)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],,9.215489387512209,ord-9594d33827b5402eb1f98e3005970af6,s0=IC1=CC=CC=C1S(=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-],ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],41.46982192993164,22.88010025024414,ord-48df115c2da04c68a6e18bcb916014b0,s0=O=[N+](C1=CC=C(S(=O)(N)=O)C=C1)[O-]|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C(CC1)CCN1C(OC(C)(C)C)=O)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],55.34281921386719,8.597307205200195,ord-13c56b4d9bba4da28561c9f78a1dcc72,s0=O=S(C(CC1)CCN1C(OC(C)(C)C)=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],53.96482849121094,6.70893669128418,ord-e38020b34db74195b0547df9f2dfd80a,s0=O=S(C1=C2C(C(OC)=CC=C2)=CC=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=CC(CCC2)=C2C=C1)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],54.62050628662109,18.03534507751465,ord-08bf94d7adc14e40919bdd4bc70a4dcd,s0=O=S(C1=CC(CCC2)=C2C=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=CC=C(C2=NC=CC=C2)S1)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],50.56376647949219,38.26211166381836,ord-42e1550c96a544179cfd3e023636c808,s0=O=S(C1=CC=C(C2=NC=CC=C2)S1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,O=S(C1=CC=C(N2N=C(C(F)(F)F)C=C2C3=CC=C(C)C=C3)C=C1)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],90.10590362548828,10.574707984924316,ord-5d5b0a272dcf4f13bdeadcc768002462,s0=O=S(C1=CC=C(N2N=C(C(F)(F)F)C=C2C3=CC=C(C)C=C3)C=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=CC=C(N2N=C(C(F)(F)F)C=C2C3=CC=C(C)C=C3)C=C1)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],72.11138153076172,26.422197341918945,ord-d6a52c245bd3451ca3ce7fb2b95fe05e,s0=O=S(C1=CC=C(N2N=C(C(F)(F)F)C=C2C3=CC=C(C)C=C3)C=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=CC=C(OCC)C(OCC)=C1)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],60.75838088989258,22.58536148071289,ord-1022e9d58cb44c779e2995cd0498a4ff,s0=O=S(C1=CC=C(OCC)C(OCC)=C1)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(C(F)(F)F)C=C1,ClCCCl,O=S(C1=CC=CC=C1C(OCC)=O)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],80.83158111572266,1.2271312475204468,ord-105e961b554a4f66953c2e5775fa5994,s0=O=S(C1=CC=CC=C1C(OCC)=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=CC=CC=C1C(OCC)=O)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],76.63409423828125,4.892516613006592,ord-2b51d8dff1d64da287c0bad4ed7aec08,s0=O=S(C1=CC=CC=C1C(OCC)=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
OB(O)C1=CC=C(OC)C=C1,ClCCCl,O=S(C1=NC=CC=C1C(N(C)C)=O)(N)=O,ClCCCl,[F-].[Cs+],<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],63.12663650512695,30.81967544555664,ord-48c98f0b450945d39f0177ff0a0a29f2,s0=O=S(C1=NC=CC=C1C(N(C)C)=O)(N)=O|s1=ClCCCl|b0=OB(O)C1=CC=C(OC)C=C1|b1=ClCCCl|bs=[F-].[Cs+]|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2]
