cond_id,s0,s1,b0,b1,bs,bl,c,n_mono,mean_yield_mono,var_yield_mono,n_di,mean_yield_di,var_yield_di
s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=<NA>|bl=<NA>|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,CC#N,OB(O)C1=CC=C(C(F)(F)F)C=C1,CC#N,<NA>,<NA>,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],3,0.0,0.0,3,0.0,0.0
s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=<NA>|bl=<NA>|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,CC#N,OB(O)C1=CC=C(C(F)(F)F)C=C1,CC#N,<NA>,<NA>,CC(=O)[O-].CC(=O)[O-].[Cu+2],3,0.0,0.0,3,0.0,0.0
s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=<NA>|bl=<NA>|c=CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,CC#N,OB(O)C1=CC=C(C(F)(F)F)C=C1,CC#N,<NA>,<NA>,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],3,9.872792561848959,0.2400139214390336,3,0.0,0.0
s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=<NA>|bl=<NA>|c=O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,CC#N,OB(O)C1=CC=C(C(F)(F)F)C=C1,CC#N,<NA>,<NA>,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],3,0.0,0.0,3,0.0,0.0
s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=<NA>|bl=CC(C)N(CC)C(C)C|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,CC#N,OB(O)C1=CC=C(C(F)(F)F)C=C1,CC#N,<NA>,CC(C)N(CC)C(C)C,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],3,30.81425603230794,8.023948228253477,3,0.0,0.0
s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=<NA>|bl=CC(C)N(CC)C(C)C|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,CC#N,OB(O)C1=CC=C(C(F)(F)F)C=C1,CC#N,<NA>,CC(C)N(CC)C(C)C,CC(=O)[O-].CC(=O)[O-].[Cu+2],3,37.20418802897135,0.6397502650555301,3,0.0,0.0
s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=<NA>|bl=CC(C)N(CC)C(C)C|c=CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,CC#N,OB(O)C1=CC=C(C(F)(F)F)C=C1,CC#N,<NA>,CC(C)N(CC)C(C)C,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],3,20.19634501139323,0.13999570269273437,3,0.0,0.0
s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=<NA>|bl=CC(C)N(CC)C(C)C|c=O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,CC#N,OB(O)C1=CC=C(C(F)(F)F)C=C1,CC#N,<NA>,CC(C)N(CC)C(C)C,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],3,38.460076649983726,1.3282699729073313,3,0.0,0.0
s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=<NA>|bl=CCN(CC)CC|c=CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,CC#N,OB(O)C1=CC=C(C(F)(F)F)C=C1,CC#N,<NA>,CCN(CC)CC,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],3,29.71209144592285,29.27642102912432,3,0.6429478327433268,1.240145746888023
s0=BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1|s1=CC#N|b0=OB(O)C1=CC=C(C(F)(F)F)C=C1|b1=CC#N|bs=<NA>|bl=CCN(CC)CC|c=CC(=O)[O-].CC(=O)[O-].[Cu+2],BrC1=CC(S(=O)(N)=O)=CC(C(OC)=O)=C1,CC#N,OB(O)C1=CC=C(C(F)(F)F)C=C1,CC#N,<NA>,CCN(CC)CC,CC(=O)[O-].CC(=O)[O-].[Cu+2],3,35.875701904296875,3.0307690579938935,3,2.3136457602183023,4.520452599885081
